HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney Atlas_heart Atlas_brain Atlas_kidney
ENSG00000000003 2.94485844580754 3.67807190511264 5.50462039240355 1.81147103052984 1.76977173924945 2.36588373987001 2.68175302949324 3.61810909922499 1.9061209529971 2.58472203150802 3.9789277763814
ENSG00000000005 0.925999418556223 0.263034405833794 1.13750352374994 0.389566811762726 0 0.17707507057045 0.0530978854886879 0.330279328967699 0.0398402645317911 0.292781749227846 0.619178216059069
ENSG00000000419 5.44625622988956 4.48542682717024 5.14159627838382 3.13586316536868 2.21723071622067 4.92202656710555 3.94974577613145 4.09318380646726 4.18863829456139 3.61105431506248 3.62655594938034
ENSG00000000457 2.40599235967584 2.48542682717024 2.96347412397489 1.06350294230616 0.925999418556223 2.07140262132382 1.26197071673398 2.04072750511297 2.42680147161338 2.52506659207821 3.00324241748868
ENSG00000000460 1.20163386116965 1.43295940727611 1.48542682717024 0.124328135002202 0.070389327891398 0.52919872059355 0.538906281490921 0.4764907905952 0.235114320376357 0.18269229751619 0.24731993497982
ENSG00000000938 1.88752527074159 1.76553474636298 1.76553474636298 1.54596836910529 1.13093086982645 0.677714104586991 2.8763906662533 1.70061539433723 1.14404636961671 0.353887836284907 0.295135249000818
ENSG00000000971 6.456149034648 3.13750352374994 4.34340782229781 3.39917109381982 1.06350294230616 3.62593932842754 3.58217196489007 3.70775648400341 6.68805443905615 3.66493787744175 3.96753753607086
ENSG00000001036 4.96347412397489 3.76553474636298 5.77873424411784 5.93663793900257 4.68650052718322 3.93311530082931 3.4331647781614 3.68638468303347 1.76595900604575 1.73638840070346 2.3790663992809
ENSG00000001084 3.68929916053589 4.78135971352466 4.5668151540109 2.32192809488736 3.85996954822103 2.27182831065439 2.93859870758501 3.44954087193167 1.30451104180995 1.98804839748319 1.95754320075711
ENSG00000001167 2.70043971814109 3.57288966842058 3.20163386116965 1.59454854955035 2.45680614923047 1.70469595743768 1.69149104401783 2.3509313603969 2.00252250976871 2.51424852992186 2.26333493599651
